-30 	-31 	-32 	-32 	-32 	-32 	-32 	-33 	-35 	-35 	-34 	-34 	-36 	-37 	-38 	-37 	-35 	-32 	-30 	-28 	-27 	-28 	-29 	-29 	-30 	-30 	-31 	-30 	-29 	-29 	-30 	-31 	-32 	-31 	-30 	-28 	-28 	-26 	-25 	-24 	-24 	-23 	-22 	-22 	-23 	-23 	-22 	-21 	-21 	-21 	-20 	-19 	-18 	-17 	-18 	-17 	-17 	-18 	-19 	-20 	-19 
-32 	-34 	-35 	-35 	-34 	-34 	-35 	-36 	-37 	-36 	-34 	-32 	-30 	-29 	-28 	-30 	-31 	-31 	-31 	-31 	-32 	-31 	-30 	-30 	-31 	-32 	-32 	-31 	-30 	-29 	-28 	-27 	-26 	-26 	-25 	-24 	-22 	-23 	-24 	-24 	-25 	-25 	-25 	-23 	-22 	-22 	-22 	-22 	-22 	-21 	-19 	-18 	-17 	-17 	-18 	-18 	-18 	-18 	-16 	-15 	-14 
-35 	-36 	-37 	-36 	-34 	-32 	-30 	-29 	-28 	-30 	-31 	-31 	-31 	-31 	-31 	-31 	-31 	-31 	-31 	-32 	-33 	-32 	-31 	-30 	-28 	-27 	-28 	-27 	-26 	-24 	-23 	-24 	-26 	-27 	-26 	-25 	-24 	-23 	-23 	-22 	-21 	-21 	-22 	-21 	-20 	-18 	-18 	-17 	-16 	-16 	-15 	-15 	-15 	-15 	-14 	-15 	-16 	-18 	-19 	-19 	-19 
-30 	-29 	-29 	-30 	-32 	-32 	-31 	-31 	-31 	-31 	-31 	-31 	-32 	-32 	-33 	-33 	-32 	-30 	-29 	-28 	-28 	-28 	-27 	-25 	-24 	-25 	-26 	-26 	-25 	-24 	-24 	-24 	-24 	-23 	-22 	-23 	-24 	-23 	-22 	-22 	-21 	-20 	-20 	-19 	-17 	-17 	-16 	-16 	-15 	-16 	-17 	-19 	-21 	-21 	-21 	-20 	-19 	-20 	-21 	-22 	-22 
-31 	-31 	-31 	-31 	-31 	-31 	-31 	-32 	-33 	-33 	-32 	-31 	-29 	-28 	-28 	-28 	-26 	-25 	-25 	-26 	-27 	-26 	-26 	-25 	-24 	-24 	-24 	-22 	-21 	-20 	-20 	-21 	-21 	-20 	-19 	-19 	-19 	-18 	-17 	-16 	-16 	-17 	-18 	-18 	-18 	-18 	-19 	-19 	-20 	-21 	-21 	-22 	-22 	-22 	-22 	-22 	-21 	-21 	-20 	-20 	-19 
-31 	-32 	-33 	-33 	-32 	-31 	-29 	-28 	-28 	-28 	-26 	-24 	-24 	-26 	-26 	-26 	-26 	-26 	-26 	-26 	-25 	-23 	-22 	-22 	-22 	-22 	-22 	-21 	-20 	-20 	-20 	-20 	-18 	-17 	-17 	-18 	-19 	-19 	-19 	-19 	-20 	-21 	-21 	-20 	-21 	-22 	-23 	-24 	-23 	-23 	-23 	-21 	-20 	-20 	-20 	-18 	-17 	-15 	-13 	-11 	-9 
-29 	-28 	-28 	-29 	-27 	-25 	-25 	-26 	-26 	-25 	-25 	-26 	-25 	-25 	-23 	-22 	-21 	-20 	-20 	-20 	-20 	-20 	-20 	-20 	-20 	-19 	-16 	-15 	-17 	-18 	-18 	-19 	-19 	-21 	-22 	-21 	-20 	-20 	-21 	-22 	-23 	-23 	-23 	-24 	-25 	-24 	-23 	-23 	-22 	-21 	-21 	-20 	-19 	-16 	-14 	-15 	-17 	-19 	-22 	-23 	-21 
-25 	-26 	-25 	-24 	-24 	-25 	-24 	-23 	-22 	-20 	-19 	-19 	-19 	-20 	-20 	-20 	-20 	-20 	-20 	-19 	-16 	-15 	-15 	-17 	-17 	-17 	-18 	-19 	-19 	-17 	-17 	-17 	-18 	-19 	-21 	-22 	-23 	-23 	-22 	-21 	-21 	-19 	-18 	-18 	-19 	-19 	-17 	-14 	-13 	-14 	-15 	-17 	-21 	-22 	-21 	-20 	-19 	-18 	-18 	-18 	-20 
-24 	-23 	-22 	-19 	-18 	-18 	-17 	-16 	-16 	-16 	-15 	-16 	-17 	-16 	-14 	-12 	-13 	-14 	-16 	-17 	-19 	-21 	-22 	-21 	-19 	-19 	-20 	-22 	-24 	-25 	-25 	-26 	-25 	-24 	-23 	-22 	-20 	-19 	-19 	-18 	-18 	-17 	-16 	-15 	-16 	-18 	-21 	-23 	-22 	-22 	-22 	-21 	-20 	-20 	-19 	-19 	-20 	-21 	-23 	-26 	-28 
-17 	-16 	-15 	-13 	-13 	-14 	-16 	-16 	-13 	-10 	-10 	-11 	-13 	-16 	-19 	-21 	-22 	-21 	-19 	-18 	-19 	-21 	-23 	-24 	-25 	-24 	-23 	-22 	-21 	-20 	-17 	-16 	-17 	-17 	-15 	-13 	-11 	-12 	-14 	-17 	-20 	-20 	-19 	-18 	-18 	-19 	-19 	-19 	-20 	-21 	-21 	-23 	-24 	-27 	-28 	-29 	-29 	-27 	-26 	-26 	-25 
